DayOfWeek,Origin_Airport,Scheduled_Departure,Departure_Time,Dep_Delay,Scheduled_Arrival,Arrival_Time,Arrival_Delay,Arr_Del_morethan15,Cancelled,Diverted,Distance,Carrier_Delay,WeatherDelay,NAS_Delay,Security_Delay,Late_Aircraft_Delay,Top_Carriers
5,BOS,600,554,-6,711,707,-4,0,0,0,187,0,0,0,0,0,1
6,BOS,600,554,-6,711,703,-8,0,0,0,187,0,0,0,0,0,1
1,BOS,600,601,1,711,706,-5,0,0,0,187,0,0,0,0,0,1
2,BOS,600,556,-4,711,709,-2,0,0,0,187,0,0,0,0,0,1
3,BOS,600,552,-8,711,659,-12,0,0,0,187,0,0,0,0,0,1
4,BOS,600,555,-5,711,716,5,0,0,0,187,0,0,0,0,0,1
5,BOS,600,556,-4,711,705,-6,0,0,0,187,0,0,0,0,0,1
6,BOS,600,556,-4,711,710,-1,0,0,0,187,0,0,0,0,0,1
1,BOS,600,555,-5,711,701,-10,0,0,0,187,0,0,0,0,0,1
2,BOS,600,549,-11,711,722,11,0,0,0,187,0,0,0,0,0,1
3,BOS,600,553,-7,711,703,-8,0,0,0,187,0,0,0,0,0,1
4,BOS,600,640,40,711,752,41,1,0,0,187,40,0,1,0,0,1
5,BOS,600,600,0,711,719,8,0,0,0,187,0,0,0,0,0,1
6,BOS,600,555,-5,711,653,-18,0,0,0,187,0,0,0,0,0,1
1,BOS,600,555,-5,711,710,-1,0,0,0,187,0,0,0,0,0,1
2,BOS,600,556,-4,711,701,-10,0,0,0,187,0,0,0,0,0,1
3,BOS,600,551,-9,711,659,-12,0,0,0,187,0,0,0,0,0,1
4,BOS,600,745,105,711,858,107,1,0,0,187,105,0,2,0,0,1
5,BOS,600,553,-7,711,706,-5,0,0,0,187,0,0,0,0,0,1
6,BOS,600,621,21,711,740,29,1,0,0,187,21,0,8,0,0,1
3,BOS,600,553,-7,711,709,-2,0,0,0,187,0,0,0,0,0,1
4,BOS,600,549,-11,711,709,-2,0,0,0,187,0,0,0,0,0,1
5,BOS,600,557,-3,711,707,-4,0,0,0,187,0,0,0,0,0,1
6,BOS,600,648,48,711,821,70,1,0,0,187,48,0,22,0,0,1
5,JFK,830,846,16,1138,1200,22,1,0,0,2475,0,0,6,0,16,1
6,JFK,830,831,1,1138,1138,0,0,0,0,2475,0,0,0,0,0,1
7,JFK,830,830,0,1138,1135,-3,0,0,0,2475,0,0,0,0,0,1
1,JFK,830,827,-3,1138,1122,-16,0,0,0,2475,0,0,0,0,0,1
2,JFK,830,914,44,1138,1159,21,1,0,0,2475,21,0,0,0,0,1
3,JFK,830,824,-6,1138,1145,7,0,0,0,2475,0,0,0,0,0,1
4,JFK,830,828,-2,1138,1130,-8,0,0,0,2475,0,0,0,0,0,1
5,JFK,830,823,-7,1138,1138,0,0,0,0,2475,0,0,0,0,0,1
6,JFK,830,827,-3,1138,1138,0,0,0,0,2475,0,0,0,0,0,1
7,JFK,830,831,1,1138,1148,10,0,0,0,2475,0,0,0,0,0,1
1,JFK,830,825,-5,1138,1152,14,0,0,0,2475,0,0,0,0,0,1
2,JFK,830,823,-7,1138,1110,-28,0,0,0,2475,0,0,0,0,0,1
3,JFK,830,831,1,1138,1132,-6,0,0,0,2475,0,0,0,0,0,1
4,JFK,830,836,6,1138,1150,12,0,0,0,2475,0,0,0,0,0,1
5,JFK,830,829,-1,1138,1133,-5,0,0,0,2475,0,0,0,0,0,1
6,JFK,830,830,0,1138,1147,9,0,0,0,2475,0,0,0,0,0,1
7,JFK,830,831,1,1138,1137,-1,0,0,0,2475,0,0,0,0,0,1
1,JFK,830,827,-3,1138,1144,6,0,0,0,2475,0,0,0,0,0,1
3,JFK,830,824,-6,1138,1136,-2,0,0,0,2475,0,0,0,0,0,1
4,JFK,830,1036,126,1138,1317,99,1,0,0,2475,42,0,0,0,57,1
5,JFK,830,828,-2,1138,1113,-25,0,0,0,2475,0,0,0,0,0,1
6,JFK,830,832,2,1138,1107,-31,0,0,0,2475,0,0,0,0,0,1
7,JFK,830,859,29,1138,1132,-6,0,0,0,2475,0,0,0,0,0,1
1,JFK,830,822,-8,1138,1144,6,0,0,0,2475,0,0,0,0,0,1
2,JFK,830,822,-8,1138,1121,-17,0,0,0,2475,0,0,0,0,0,1
3,JFK,830,834,4,1138,1134,-4,0,0,0,2475,0,0,0,0,0,1
4,JFK,830,826,-4,1138,1122,-16,0,0,0,2475,0,0,0,0,0,1
5,JFK,830,824,-6,1138,1130,-8,0,0,0,2475,0,0,0,0,0,1
6,JFK,830,913,43,1138,1213,35,1,0,0,2475,35,0,0,0,0,1
7,JFK,830,959,89,1138,1303,85,1,0,0,2475,0,0,0,0,85,1
5,LAX,900,1242,222,1729,2314,345,1,0,0,2475,0,0,345,0,0,1
6,LAX,900,857,-3,1729,1714,-15,0,0,0,2475,0,0,0,0,0,1
7,LAX,900,857,-3,1729,1708,-21,0,0,0,2475,0,0,0,0,0,1
1,LAX,900,859,-1,1729,1731,2,0,0,0,2475,0,0,0,0,0,1
2,LAX,900,940,40,1729,1808,39,1,0,0,2475,39,0,0,0,0,1
3,LAX,900,857,-3,1729,1728,-1,0,0,0,2475,0,0,0,0,0,1
4,LAX,900,1054,114,1729,1910,101,1,0,0,2475,0,0,101,0,0,1
5,LAX,900,906,6,1729,1745,16,1,0,0,2475,0,0,16,0,0,1
6,LAX,900,857,-3,1729,1732,3,0,0,0,2475,0,0,0,0,0,1
7,LAX,900,852,-8,1729,1727,-2,0,0,0,2475,0,0,0,0,0,1
1,LAX,900,857,-3,1729,1737,8,0,0,0,2475,0,0,0,0,0,1
2,LAX,900,854,-6,1729,1748,19,1,0,0,2475,0,0,19,0,0,1
